Date, Open, High, Low, Close
03/04/22, 5596.23, 5596.23, 5596.23, 5596.23
03/03/22, 5685.63, 5685.63, 5685.63, 5685.63
03/02/22, 5735.50, 5735.50, 5735.50, 5735.50
03/01/22, 5680.34, 5680.34, 5680.34, 5680.34
02/28/22, 5740.58, 5740.58, 5740.58, 5740.58
02/25/22, 5729.17, 5729.17, 5729.17, 5729.17
02/24/22, 5607.95, 5607.95, 5607.95, 5607.95
02/23/22, 5575.62, 5575.62, 5575.62, 5575.62
02/22/22, 5658.27, 5658.27, 5658.27, 5658.27
02/21/22, 5718.14, 5718.14, 5718.14, 5718.14
02/18/22, 5733.65, 5733.65, 5733.65, 5733.65
02/17/22, 5792.99, 5792.99, 5792.99, 5792.99
02/16/22, 5897.73, 5897.73, 5897.73, 5897.73
02/15/22, 5885.12, 5885.12, 5885.12, 5885.12
02/14/22, 5785.76, 5785.76, 5785.76, 5785.76
02/11/22, 5825.84, 5825.84, 5825.84, 5825.84
02/10/22, 5947.06, 5947.06, 5947.06, 5947.06
02/09/22, 6029.67, 6029.67, 6029.67, 6029.67
02/08/22, 5921.79, 5921.79, 5921.79, 5921.79
02/07/22, 5891.34, 5891.34, 5891.34, 5891.34
02/04/22, 5915.71, 5915.71, 5915.71, 5915.71
02/03/22, 5884.99, 5884.99, 5884.99, 5884.99
02/02/22, 6040.86, 6040.86, 6040.86, 6040.86
02/01/22, 5987.75, 5987.75, 5987.75, 5987.75
01/31/22, 5942.34, 5942.34, 5942.34, 5942.34
01/28/22, 5809.53, 5809.53, 5809.53, 5809.53
01/27/22, 5694.31, 5694.31, 5694.31, 5694.31
01/26/22, 5764.94, 5764.94, 5764.94, 5764.94
01/25/22, 5764.75, 5764.75, 5764.75, 5764.75
01/24/22, 5859.24, 5859.24, 5859.24, 5859.24
01/21/22, 5886.56, 5886.56, 5886.56, 5886.56
01/20/22, 5998.29, 5998.29, 5998.29, 5998.29
01/19/22, 6027.42, 6027.42, 6027.42, 6027.42
01/18/22, 6071.27, 6071.27, 6071.27, 6071.27
01/17/22, 6186.45, 6186.45, 6186.45, 6186.45
01/14/22, 6182.86, 6182.86, 6182.86, 6182.86
01/13/22, 6197.54, 6197.54, 6197.54, 6197.54
01/12/22, 6301.81, 6301.81, 6301.81, 6301.81
01/11/22, 6254.07, 6254.07, 6254.07, 6254.07
01/10/22, 6198.14, 6198.14, 6198.14, 6198.14
01/07/22, 6217.77, 6217.77, 6217.77, 6217.77
01/06/22, 6253.46, 6253.46, 6253.46, 6253.46
01/05/22, 6298.12, 6298.12, 6298.12, 6298.12
01/04/22, 6428.69, 6428.69, 6428.69, 6428.69
01/03/22, 6467.21, 6467.21, 6467.21, 6467.21
12/31/21, 6454.14, 6454.14, 6454.14, 6454.14
12/30/21, 6464.47, 6464.47, 6464.47, 6464.47
12/29/21, 6471.90, 6471.90, 6471.90, 6471.90
12/28/21, 6468.34, 6468.34, 6468.34, 6468.34
12/27/21, 6475.00, 6475.00, 6475.00, 6475.00
12/24/21, 6406.60, 6406.60, 6406.60, 6406.60
12/23/21, 6404.57, 6404.57, 6404.57, 6404.57
